Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial50
1.089,0.988,5.338,2.721,2.432,1.753,2.269,1.807,3.388,2.536,1.888,1.367,2.113,1.701,0.697,0.733,1.197,1.361,0.872,3.389,1.772,1.444,3.334,1.195,2.059,4.236,2.368,3.58,1.003,0.952,2.461,2.057,2.586,1.605,1.858,0.815,1.57,1.082,2.869,1.342,2.201,2.534,1.652,2.21,1.338,3.65,4.229,1.514,1.21,2.04
1.224,1.423,8.692,3.191,2.791,2.957,2.3,1.811,3.596,3.08,1.98,1.42,2.13,2.056,0.792,0.888,1.51,1.498,0.916,3.396,1.998,1.895,4.325,1.257,2.741,4.324,2.68,3.704,1.097,1.153,2.667,3.765,2.67,1.636,3.823,1.195,1.64,1.15,2.912,1.463,2.207,2.628,1.862,2.27,1.451,3.668,4.5,1.519,1.214,2.771
1.473,1.44,NA,3.227,2.812,3.048,2.388,1.872,3.68,3.225,4.099,1.486,2.14,2.254,0.827,1.074,3.29,1.523,1.132,3.449,2.146,2.278,4.715,1.274,2.753,4.463,2.7,3.784,1.316,1.249,2.694,3.767,3.223,1.658,3.964,1.316,1.665,1.179,2.936,1.495,2.275,2.819,2.297,2.605,1.495,4.335,4.533,1.604,1.471,3.027
1.482,1.484,NA,3.26,3.128,3.1,2.416,3.021,3.755,3.273,4.117,1.548,2.151,2.255,1.514,1.09,3.332,1.621,1.554,3.775,2.164,3.26,5.196,1.365,2.78,4.471,2.737,3.821,1.653,1.436,2.763,3.783,3.349,2.016,3.981,1.531,1.698,1.255,3.127,2.332,2.35,2.832,2.323,2.613,1.626,4.393,4.597,1.761,1.507,3.166
1.551,1.506,NA,3.435,3.337,3.194,2.619,3.237,4.005,3.279,4.16,1.621,2.283,2.278,1.574,1.214,3.389,1.624,1.575,3.876,2.197,3.368,5.354,1.402,2.782,4.492,2.767,4.116,1.807,1.801,2.764,3.842,3.608,2.069,4.029,1.676,1.706,1.267,3.256,2.5,2.362,2.853,2.527,2.696,1.629,4.445,4.673,1.768,1.956,3.393
1.744,1.571,NA,3.537,3.353,3.195,2.991,3.239,4.403,3.323,4.193,1.637,2.399,2.309,1.868,1.256,4.065,1.957,1.654,3.894,2.383,3.634,5.393,1.516,2.796,4.602,2.838,5.514,1.811,2.195,2.824,3.855,4.285,2.685,4.036,1.703,1.797,1.285,3.292,2.522,2.376,3.027,2.558,2.766,1.904,4.466,4.684,2.818,2.031,3.549
1.748,1.616,NA,3.568,3.862,3.272,2.996,4.422,4.436,3.367,4.289,1.79,2.491,2.503,1.913,1.349,4.107,2.055,2.285,3.916,2.485,3.641,5.744,2.88,2.821,4.754,2.844,5.598,2.061,2.271,3.471,4.024,4.349,3.008,4.093,1.724,2.752,1.31,3.294,2.565,2.539,3.068,2.605,2.827,2.281,4.64,4.727,2.956,2.164,3.596
2.503,1.68,NA,3.582,3.874,3.308,3.133,5.317,4.441,3.379,4.306,1.898,2.504,2.518,4.554,1.793,4.225,2.063,2.301,3.973,3.352,5.072,6.087,2.964,2.911,5.218,3.782,5.652,2.105,2.677,3.857,4.051,4.365,3.205,4.146,1.767,2.791,1.561,3.308,2.694,2.79,3.232,2.613,2.87,2.286,4.681,4.732,3.025,2.235,3.687
3.034,1.915,NA,4.712,4.231,3.326,3.198,8.019,4.532,3.487,4.421,2.222,2.63,2.695,4.635,1.798,4.389,2.337,2.438,4.076,3.911,5.429,6.12,3.132,2.989,5.708,3.848,NA,2.11,2.832,4.428,4.054,4.381,3.266,4.164,1.79,2.874,1.81,3.317,2.744,2.969,3.251,2.855,2.92,2.622,4.768,8.844,3.265,2.248,3.699
3.172,1.963,NA,4.815,4.329,3.368,3.238,8.207,4.55,3.498,4.683,2.365,2.687,2.703,4.819,1.879,4.473,2.397,2.552,4.212,4.194,6.559,7.294,3.268,3.073,5.848,6.002,NA,2.188,2.896,5.662,4.115,4.421,3.849,4.24,1.812,2.925,3.267,3.387,2.8,2.988,3.27,2.869,3.476,2.669,4.85,8.945,3.319,2.295,4.188
3.254,2.005,NA,5.029,4.506,3.399,3.264,8.751,4.639,3.634,4.779,2.414,3.792,3.223,4.833,1.938,4.512,3.774,3.298,4.819,4.488,6.6,9.897,3.31,3.302,6.107,6.195,NA,2.219,3.028,6.763,4.381,4.509,3.91,4.263,1.938,3.221,3.523,3.468,3.69,3.05,4.766,3.122,3.492,2.687,4.906,9.042,3.822,2.467,4.308
3.435,2.117,NA,5.937,4.625,3.423,3.328,9.453,4.774,3.679,5.119,2.589,3.813,3.555,4.946,1.941,4.575,3.785,3.548,4.957,4.601,8.92,9.922,3.378,3.303,6.18,6.347,NA,2.689,3.069,6.8,5.23,4.51,3.915,4.416,1.947,3.246,3.558,3.513,3.696,3.068,4.844,3.191,4.018,2.799,5.143,9.187,4.169,2.479,4.309
3.599,2.19,NA,5.998,4.996,3.494,3.601,NA,4.8,3.736,5.819,2.596,3.869,3.578,4.963,1.991,4.8,3.902,3.598,5.164,4.608,8.968,NA,3.392,3.396,7.498,6.688,NA,2.955,3.212,7.635,5.31,4.515,3.935,4.449,1.952,3.282,3.566,3.52,3.912,3.151,5.229,3.36,4.09,2.862,5.192,9.449,4.877,2.69,4.356
3.62,2.206,NA,6.282,5.072,3.605,3.631,NA,5.546,3.839,7.568,2.603,3.885,3.786,5.306,2.04,5.169,4.04,3.652,6.126,4.966,9.07,NA,3.703,3.986,9.779,6.83,NA,3.094,3.455,NA,5.394,5.377,4.014,4.6,1.975,4.817,3.578,3.567,4.606,3.958,5.863,3.375,4.12,2.863,5.397,9.718,4.882,2.719,4.499
3.655,2.691,NA,NA,5.999,3.628,3.729,NA,6.014,4.123,7.854,4.237,3.886,3.837,5.538,2.047,5.241,4.193,3.67,6.367,7.996,9.213,NA,3.796,4.098,NA,7.585,NA,3.674,3.529,NA,5.574,5.466,4.286,4.616,2.316,5.071,3.821,3.58,5.164,3.965,6.684,3.551,4.146,2.886,5.47,9.908,4.93,2.83,4.734
3.664,2.77,NA,NA,6.999,3.633,3.758,NA,6.355,4.876,8.348,4.274,3.96,3.917,7.466,2.382,5.425,4.197,3.832,NA,8.122,9.416,NA,3.797,4.208,NA,8.17,NA,3.681,3.615,NA,5.745,5.758,4.336,4.709,2.433,5.161,3.833,3.793,5.582,4.02,6.864,3.618,4.189,2.912,5.706,NA,5.497,2.911,4.938
3.733,3.79,NA,NA,7.049,3.659,3.761,NA,6.376,5.011,8.435,4.397,4.234,3.957,9.073,2.558,5.454,4.204,5.739,NA,8.287,NA,NA,6.015,4.285,NA,8.533,NA,5.959,4.383,NA,5.921,6.176,4.534,4.728,3.175,6.166,3.844,3.819,5.974,4.29,7.704,3.674,4.217,2.931,6.33,NA,5.741,2.914,4.94
